,L-Precision,L-Recall,L-Measure,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRHMUPX127F8A932EE,0.5066320436271897,0.7006539573668712,0.5880524515383693,0.6289842104463808,0.6914203935736652,0.6587261344203179,Reference,Estimate
TRHNACN149E3596A6F,0.8906038353354258,0.8455871178289373,0.8675118700234198,0.8573423792094178,0.838326521035993,0.8477278246895151,Reference,Estimate
TRHNJLQ149E3A6B3CA,0.7541082676504273,0.6797126376333429,0.7149803964733487,0.7556768746558984,0.752134816220102,0.7539016850451479,Reference,Estimate
TRHOOHK149E362E7B2,0.6969189646070851,0.6971402266772508,0.6970295780830487,0.8273122457514952,0.8401237106304513,0.8336687608187208,Reference,Estimate
TRHOVDW149E376FB66,0.5772603552533937,0.6077541052549935,0.5921148853418956,0.6182852684687515,0.614955256474386,0.6166157666008694,Reference,Estimate
TRHPDSU149E32606EB,0.4597771720264153,0.4767745758028516,0.46812163164462073,0.5379659601108293,0.6012557532367153,0.5678528152552379,Reference,Estimate
TRHPMDJ149E38C891C,0.7579005814676365,0.7234293346463577,0.7402638769593674,0.9042732594005555,0.877274358900029,0.8905692284192611,Reference,Estimate
TRHPPJI149E35F6FE8,0.6463815939755636,0.7387324147187821,0.6894783140594377,0.8156173803667984,0.8767940770837103,0.8451000318201911,Reference,Estimate
TRHPQAS149E30CF857,0.7731707799208365,0.7606986673526624,0.7668840173683023,0.8614601935589882,0.8677168332804733,0.8645771942950845,Reference,Estimate
TRHPTPU149E3CF2AEA,0.48987686977337885,0.5995078545721868,0.539175967202596,0.6801811674116929,0.6437773528875728,0.6614787770560965,Reference,Estimate
TRHQLZX149E3275F61,0.739078188586837,0.7398572116711816,0.739467494955421,0.8480408531896136,0.8981718450153449,0.8723867585440052,Reference,Estimate
TRHSBYA149E35F476E,0.6677773959519875,0.6586855326522453,0.6632003055051087,0.7929874616565704,0.7941426927487096,0.7935646567711864,Reference,Estimate
TRHSELP149E3A2933D,0.6625616315764193,0.6593874531484805,0.6609707315467351,0.8091393537409024,0.7987617565655907,0.8039170659907467,Reference,Estimate
TRHTCNT127F7D91188,0.4318247448666865,0.5062268384040877,0.46607516950464745,0.6481900829158298,0.6639272757316214,0.6559643054340392,Reference,Estimate
TRHTOPB149E3E82A2C,0.6586160597366731,0.6653943468318189,0.6619878525233621,0.7578560590415353,0.7877504681144962,0.7725141616370884,Reference,Estimate
