,thirds,thirds_inv,triads,triads_inv,tetrads,tetrads_inv,root,mirex,majmin,majmin_inv,sevenths,sevenths_inv,underseg,overseg,seg,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRUJFEQ149E34108AA,0.8033517399588819,0.7669552437409572,0.7880022067522057,0.751605710534281,0.6631170131170121,0.6445752802895651,0.8190408985051831,0.8092359985217115,0.8005871948531166,0.7636094192074282,0.6795705800899098,0.6605687811853824,0.8965380152880135,0.8240997142782852,0.8240997142782852,0.6937600793832188,0.6907296809420168,0.692241563664737,Reference,Estimate
TRUJPRH149E33035C2,0.2936820573894322,0.2934532571605515,0.28774812937450955,0.28751932914562883,0.28774812937450955,0.28751932914562883,0.717827818701644,0.29776331104648485,0.2972905354791193,0.2970541476954366,0.2972905354791193,0.2970541476954366,0.9385586886335511,0.4465401534856964,0.4465401534856964,0.4996433089829256,0.5791769328199515,0.5364784011044135,Reference,Estimate
TRUJVYL149E3C582D4,0.8733783987518628,0.8492463339932397,0.8492463339932397,0.8492463339932397,0.7968796933774037,0.7968796933774037,0.9263890328161309,0.8766944824052545,0.8759544664476863,0.8759544664476863,0.8490529316817107,0.8490529316817107,0.979446263324964,0.8693235995339647,0.8693235995339647,0.8539176337410724,0.8696197871394978,0.8616971838176657,Reference,Estimate
TRUKYMK149E347E8A5,0.8397955451805599,0.8397955451805599,0.8370921118124839,0.8370921118124839,0.4934603786104089,0.4934603786104089,0.9088568349896486,0.8370921118124839,0.8370921118124839,0.8370921118124839,0.4934603786104089,0.4934603786104089,0.9266229209661486,0.8749658785450037,0.8749658785450037,0.7945767825219291,0.788098016393368,0.7913241388653345,Reference,Estimate
TRULHDP149E35BD5E4,0.35990331514182794,0.35990331514182794,0.2708473876797648,0.2708473876797648,0.17086121463758225,0.17086121463758225,0.8408297734693118,0.4635957882236236,0.297743014289453,0.297743014289453,0.18782803669312143,0.18782803669312143,0.8840186295736455,0.5364998429124166,0.5364998429124166,0.6132681930086402,0.6726851257293489,0.6416039921646353,Reference,Estimate
TRUMEDZ149E3D52274,0.7879491332400059,0.7754933654012159,0.7755569440291983,0.7631011761904083,0.529734112443699,0.517278344604909,0.8029736737137261,0.8639852659186136,0.9049468034110182,0.8900318946799015,0.6525503980051787,0.637206820784585,0.9179661086966601,0.834232208162462,0.834232208162462,0.7106616143235398,0.7273089207157573,0.7188889050409455,Reference,Estimate
TRUNXDL149E364C607,0.785505399644821,0.7787902627687441,0.6800467674831048,0.6792725042830314,0.5332122381364188,0.5327119105139025,0.7935430512329469,0.6892141175032409,0.7883354062500665,0.7873850024219526,0.6545150954792194,0.6539009460689084,0.8649419398061116,0.8311472114958329,0.8311472114958329,0.7434720247735559,0.7058113398239806,0.7241523621197344,Reference,Estimate
TRUPOQR149E34A5A06,0.8885078060922764,0.8885078060922764,0.8885078060922764,0.8885078060922764,0.8584619929053777,0.8584619929053777,0.8885078060922764,0.8905049391213329,0.8971760828417846,0.8971760828417846,0.8668371428842687,0.8668371428842687,0.9162313760191005,0.8686010547620979,0.8686010547620979,0.7737025779582511,0.7795338397770112,0.7766072628152432,Reference,Estimate
TRUPVBU149E3BF1DB9,0.7186046266611643,0.6959115208999238,0.7113925464191524,0.6959115208999238,0.699372412682466,0.6838913871632374,0.7850840609751614,0.7186046266611643,0.7266688361003806,0.7108553743874012,0.7143905846115571,0.6985771228985778,0.9092900266024919,0.7971413635581664,0.7971413635581664,0.6289216605846769,0.6582240655564331,0.6432393223844887,Reference,Estimate
TRUPVRT127FA61E680,0.8983790019504287,0.8597249575820987,0.8983790019504287,0.8597249575820987,0.49297453340310404,0.46530983302411794,0.8993532657818354,0.8990285111713665,0.8983790019504287,0.8597249575820987,0.49297453340310404,0.46530983302411794,0.929964257964256,0.9263865658151361,0.9263865658151361,0.8076356250096426,0.8213363258177654,0.8144283595650891,Reference,Estimate
